高频词,频次
熟悉,680
开发,659
Java,411
经验,406
优先,287
框架,266
熟练,266
设计,259
数据库,259
技术,257
Spring,256
JAVA,251
能力,240
设计模式,203
计算机相关,199
java,198
文档,187
多线程,187
J2EE,184
精通,173
负责,173
编写,169
项目,168
岗位职责,162
Oracle,161
代码,151
团队,143
Hibernate,140
SpringMVC,139
SQL,129
系统,128
熟练掌握,127
相关,127
双休,118
开发技术,110
具备,109
架构设计,101
以上学历,101
编程,101
MySQL,92
HTML,87
单元测试,85
Struts,85
CSS,83
主流,82
软件,82
spring,79
常用,78
带薪,77
优化,76
架构,75
JavaScript,75
产品,74
Web,73
MyBatis,72
专业本科,70
软件开发,68
JSP,67
开源,65
模块,64
Linux,63
mybatis,62
五险,61
沟通,60
Mybatis,58
mysql,58
分布式系统,57
Mysql,55
员工,54
SpringBoot,54
中间件,54
一金,52
Eclipse,51
测试,51
语言,51
